tensor(1.2688, grad_fn=<MseLossBackward0>) tensor(0.5927, grad_fn=<MseLossBackward0>)
tensor(0.9974, grad_fn=<MseLossBackward0>) tensor(0.3370, grad_fn=<MseLossBackward0>)
tensor(0.8400, grad_fn=<MseLossBackward0>) tensor(0.2089, grad_fn=<MseLossBackward0>)
tensor(0.8001, grad_fn=<MseLossBackward0>) tensor(0.1627, grad_fn=<MseLossBackward0>)
tensor(0.7789, grad_fn=<MseLossBackward0>) tensor(0.1213, grad_fn=<MseLossBackward0>)
tensor(0.6903, grad_fn=<MseLossBackward0>) tensor(0.0831, grad_fn=<MseLossBackward0>)
tensor(0.6879, grad_fn=<MseLossBackward0>) tensor(0.0722, grad_fn=<MseLossBackward0>)
tensor(0.7389, grad_fn=<MseLossBackward0>) tensor(0.0969, grad_fn=<MseLossBackward0>)
tensor(0.7112, grad_fn=<MseLossBackward0>) tensor(0.1060, grad_fn=<MseLossBackward0>)
tensor(0.7434, grad_fn=<MseLossBackward0>) tensor(0.1084, grad_fn=<MseLossBackward0>)
tensor(0.7703, grad_fn=<MseLossBackward0>) tensor(0.1282, grad_fn=<MseLossBackward0>)
tensor(0.8412, grad_fn=<MseLossBackward0>) tensor(0.1493, grad_fn=<MseLossBackward0>)
tensor(0.8017, grad_fn=<MseLossBackward0>) tensor(0.1604, grad_fn=<MseLossBackward0>)
tensor(0.7812, grad_fn=<MseLossBackward0>) tensor(0.1380, grad_fn=<MseLossBackward0>)
tensor(0.7866, grad_fn=<MseLossBackward0>) tensor(0.1396, grad_fn=<MseLossBackward0>)
tensor(0.7450, grad_fn=<MseLossBackward0>) tensor(0.1590, grad_fn=<MseLossBackward0>)
tensor(0.7793, grad_fn=<MseLossBackward0>) tensor(0.1604, grad_fn=<MseLossBackward0>)
tensor(0.7292, grad_fn=<MseLossBackward0>) tensor(0.1339, grad_fn=<MseLossBackward0>)
tensor(0.8021, grad_fn=<MseLossBackward0>) tensor(0.1011, grad_fn=<MseLossBackward0>)
tensor(0.7181, grad_fn=<MseLossBackward0>) tensor(0.1015, grad_fn=<MseLossBackward0>)
tensor(0.7879, grad_fn=<MseLossBackward0>) tensor(0.0947, grad_fn=<MseLossBackward0>)
tensor(0.7059, grad_fn=<MseLossBackward0>) tensor(0.0685, grad_fn=<MseLossBackward0>)
tensor(0.7110, grad_fn=<MseLossBackward0>) tensor(0.0588, grad_fn=<MseLossBackward0>)
tensor(0.7673, grad_fn=<MseLossBackward0>) tensor(0.0488, grad_fn=<MseLossBackward0>)
tensor(0.6307, grad_fn=<MseLossBackward0>) tensor(0.0358, grad_fn=<MseLossBackward0>)
tensor(0.6694, grad_fn=<MseLossBackward0>) tensor(0.0241, grad_fn=<MseLossBackward0>)
tensor(0.6732, grad_fn=<MseLossBackward0>) tensor(0.0256, grad_fn=<MseLossBackward0>)
tensor(0.6892, grad_fn=<MseLossBackward0>) tensor(0.0254, grad_fn=<MseLossBackward0>)
tensor(0.6584, grad_fn=<MseLossBackward0>) tensor(0.0193, grad_fn=<MseLossBackward0>)
tensor(0.7024, grad_fn=<MseLossBackward0>) tensor(0.0137, grad_fn=<MseLossBackward0>)
tensor(0.6592, grad_fn=<MseLossBackward0>) tensor(0.0139, grad_fn=<MseLossBackward0>)
tensor(0.6494, grad_fn=<MseLossBackward0>) tensor(0.0142, grad_fn=<MseLossBackward0>)
tensor(0.6797, grad_fn=<MseLossBackward0>) tensor(0.0175, grad_fn=<MseLossBackward0>)
tensor(0.6526, grad_fn=<MseLossBackward0>) tensor(0.0141, grad_fn=<MseLossBackward0>)
tensor(0.6485, grad_fn=<MseLossBackward0>) tensor(0.0150, grad_fn=<MseLossBackward0>)
tensor(0.6223, grad_fn=<MseLossBackward0>) tensor(0.0161, grad_fn=<MseLossBackward0>)
tensor(0.6743, grad_fn=<MseLossBackward0>) tensor(0.0219, grad_fn=<MseLossBackward0>)
tensor(0.6356, grad_fn=<MseLossBackward0>) tensor(0.0161, grad_fn=<MseLossBackward0>)
tensor(0.6642, grad_fn=<MseLossBackward0>) tensor(0.0119, grad_fn=<MseLossBackward0>)
tensor(0.6208, grad_fn=<MseLossBackward0>) tensor(0.0147, grad_fn=<MseLossBackward0>)
tensor(0.6758, grad_fn=<MseLossBackward0>) tensor(0.0135, grad_fn=<MseLossBackward0>)
tensor(0.6343, grad_fn=<MseLossBackward0>) tensor(0.0136, grad_fn=<MseLossBackward0>)
tensor(0.6785, grad_fn=<MseLossBackward0>) tensor(0.0096, grad_fn=<MseLossBackward0>)
tensor(0.6651, grad_fn=<MseLossBackward0>) tensor(0.0206, grad_fn=<MseLossBackward0>)
tensor(0.6428, grad_fn=<MseLossBackward0>) tensor(0.0220, grad_fn=<MseLossBackward0>)
tensor(0.6960, grad_fn=<MseLossBackward0>) tensor(0.0103, grad_fn=<MseLossBackward0>)
tensor(0.6499, grad_fn=<MseLossBackward0>) tensor(0.0083, grad_fn=<MseLossBackward0>)
tensor(0.6432, grad_fn=<MseLossBackward0>) tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.6526, grad_fn=<MseLossBackward0>) tensor(0.0151, grad_fn=<MseLossBackward0>)
tensor(0.6464, grad_fn=<MseLossBackward0>) tensor(0.0125, grad_fn=<MseLossBackward0>)
tensor(0.6429, grad_fn=<MseLossBackward0>) tensor(0.0055, grad_fn=<MseLossBackward0>)
tensor(0.6868, grad_fn=<MseLossBackward0>) tensor(0.0114, grad_fn=<MseLossBackward0>)
tensor(0.6840, grad_fn=<MseLossBackward0>) tensor(0.0130, grad_fn=<MseLossBackward0>)
tensor(0.6390, grad_fn=<MseLossBackward0>) tensor(0.0118, grad_fn=<MseLossBackward0>)
tensor(0.6391, grad_fn=<MseLossBackward0>) tensor(0.0042, grad_fn=<MseLossBackward0>)
tensor(0.6720, grad_fn=<MseLossBackward0>) tensor(0.0089, grad_fn=<MseLossBackward0>)
tensor(0.6221, grad_fn=<MseLossBackward0>) tensor(0.0187, grad_fn=<MseLossBackward0>)
tensor(0.6206, grad_fn=<MseLossBackward0>) tensor(0.0091, grad_fn=<MseLossBackward0>)
tensor(0.6698, grad_fn=<MseLossBackward0>) tensor(0.0045, grad_fn=<MseLossBackward0>)
tensor(0.6230, grad_fn=<MseLossBackward0>) tensor(0.0060, grad_fn=<MseLossBackward0>)
tensor(0.6519, grad_fn=<MseLossBackward0>) tensor(0.0084, grad_fn=<MseLossBackward0>)
tensor(0.6681, grad_fn=<MseLossBackward0>) tensor(0.0100, grad_fn=<MseLossBackward0>)
tensor(0.6573, grad_fn=<MseLossBackward0>) tensor(0.0047, grad_fn=<MseLossBackward0>)
tensor(0.6952, grad_fn=<MseLossBackward0>) tensor(0.0053, grad_fn=<MseLossBackward0>)
tensor(0.6395, grad_fn=<MseLossBackward0>) tensor(0.0081, grad_fn=<MseLossBackward0>)
tensor(0.6343, grad_fn=<MseLossBackward0>) tensor(0.0063, grad_fn=<MseLossBackward0>)
tensor(0.6549, grad_fn=<MseLossBackward0>) tensor(0.0094, grad_fn=<MseLossBackward0>)
tensor(0.6528, grad_fn=<MseLossBackward0>) tensor(0.0037, grad_fn=<MseLossBackward0>)
tensor(0.6323, grad_fn=<MseLossBackward0>) tensor(0.0080, grad_fn=<MseLossBackward0>)
tensor(0.6687, grad_fn=<MseLossBackward0>) tensor(0.0095, grad_fn=<MseLossBackward0>)
tensor(0.6444, grad_fn=<MseLossBackward0>) tensor(0.0124, grad_fn=<MseLossBackward0>)
tensor(0.5878, grad_fn=<MseLossBackward0>) tensor(0.0135, grad_fn=<MseLossBackward0>)
tensor(0.6229, grad_fn=<MseLossBackward0>) tensor(0.0040, grad_fn=<MseLossBackward0>)
